"Name::label","X1 Relative Compactness::number","X2 Surface Area::number","X3 Wall Area::number","X4 Roof Area::number","X5 Overall Height::number","X6 Orientation::number","X7 Glazing Area::number","X8 Glazing Area Distribution::number","y1 Heating Load::number","y2 Cooling Load::number"
"Row    1","0.98","514.5","294","110.25","7","2","0","0","15.55","21.33"
"Row    2","0.98","514.5","294","110.25","7","3","0","0","15.55","21.33"
"Row    3","0.98","514.5","294","110.25","7","4","0","0","15.55","21.33"
"Row    4","0.98","514.5","294","110.25","7","5","0","0","15.55","21.33"
"Row    5","0.9","563.5","318.5","122.5","7","2","0","0","20.84","28.28"
"Row    6","0.9","563.5","318.5","122.5","7","3","0","0","21.46","25.38"
"Row    7","0.9","563.5","318.5","122.5","7","4","0","0","20.71","25.16"
"Row    8","0.9","563.5","318.5","122.5","7","5","0","0","19.68","29.6"
"Row    9","0.86","588","294","147","7","2","0","0","19.5","27.3"
"Row   10","0.86","588","294","147","7","3","0","0","19.95","21.97"
"Row   11","0.86","588","294","147","7","4","0","0","19.34","23.49"
"Row   12","0.86","588","294","147","7","5","0","0","18.31","27.87"
"Row   13","0.82","612.5","318.5","147","7","2","0","0","17.05","23.77"
"Row   14","0.82","612.5","318.5","147","7","3","0","0","17.41","21.46"
"Row   15","0.82","612.5","318.5","147","7","4","0","0","16.95","21.16"
"Row   16","0.82","612.5","318.5","147","7","5","0","0","15.98","24.93"
"Row   17","0.79","637","343","147","7","2","0","0","28.52","37.73"
"Row   18","0.79","637","343","147","7","3","0","0","29.9","31.27"
"Row   19","0.79","637","343","147","7","4","0","0","29.63","30.93"
"Row   20","0.79","637","343","147","7","5","0","0","28.75","39.44"
"Row   21","0.76","661.5","416.5","122.5","7","2","0","0","24.77","29.79"
"Row   22","0.76","661.5","416.5","122.5","7","3","0","0","23.93","29.68"
"Row   23","0.76","661.5","416.5","122.5","7","4","0","0","24.77","29.79"
"Row   24","0.76","661.5","416.5","122.5","7","5","0","0","23.93","29.4"
"Row   25","0.74","686","245","220.5","3.5","2","0","0","6.07","10.9"
"Row   26","0.74","686","245","220.5","3.5","3","0","0","6.05","11.19"
"Row   27","0.74","686","245","220.5","3.5","4","0","0","6.01","10.94"
"Row   28","0.74","686","245","220.5","3.5","5","0","0","6.04","11.17"
"Row   29","0.71","710.5","269.5","220.5","3.5","2","0","0","6.37","11.27"
"Row   30","0.71","710.5","269.5","220.5","3.5","3","0","0","6.4","11.72"
"Row   31","0.71","710.5","269.5","220.5","3.5","4","0","0","6.37","11.29"
"Row   32","0.71","710.5","269.5","220.5","3.5","5","0","0","6.4","11.67"
"Row   33","0.69","735","294","220.5","3.5","2","0","0","6.85","11.74"
"Row   34","0.69","735","294","220.5","3.5","3","0","0","6.79","12.05"
"Row   35","0.69","735","294","220.5","3.5","4","0","0","6.77","11.73"
"Row   36","0.69","735","294","220.5","3.5","5","0","0","6.81","11.93"
"Row   37","0.66","759.5","318.5","220.5","3.5","2","0","0","7.18","12.4"
"Row   38","0.66","759.5","318.5","220.5","3.5","3","0","0","7.1","12.23"
"Row   39","0.66","759.5","318.5","220.5","3.5","4","0","0","7.1","12.4"
"Row   40","0.66","759.5","318.5","220.5","3.5","5","0","0","7.1","12.14"
"Row   41","0.64","784","343","220.5","3.5","2","0","0","10.85","16.78"
"Row   42","0.64","784","343","220.5","3.5","3","0","0","10.54","16.8"
"Row   43","0.64","784","343","220.5","3.5","4","0","0","10.77","16.75"
"Row   44","0.64","784","343","220.5","3.5","5","0","0","10.56","16.67"
"Row   45","0.62","808.5","367.5","220.5","3.5","2","0","0","8.6","12.07"
"Row   46","0.62","808.5","367.5","220.5","3.5","3","0","0","8.49","12.22"
"Row   47","0.62","808.5","367.5","220.5","3.5","4","0","0","8.45","12.08"
"Row   48","0.62","808.5","367.5","220.5","3.5","5","0","0","8.5","12.04"
"Row   49","0.98","514.5","294","110.25","7","2","0.1","1","24.58","26.47"
"Row   50","0.98","514.5","294","110.25","7","3","0.1","1","24.63","26.37"
"Row   51","0.98","514.5","294","110.25","7","4","0.1","1","24.63","26.44"
"Row   52","0.98","514.5","294","110.25","7","5","0.1","1","24.59","26.29"
"Row   53","0.9","563.5","318.5","122.5","7","2","0.1","1","29.03","32.92"
"Row   54","0.9","563.5","318.5","122.5","7","3","0.1","1","29.87","29.87"
"Row   55","0.9","563.5","318.5","122.5","7","4","0.1","1","29.14","29.58"
"Row   56","0.9","563.5","318.5","122.5","7","5","0.1","1","28.09","34.33"
"Row   57","0.86","588","294","147","7","2","0.1","1","26.28","30.89"
"Row   58","0.86","588","294","147","7","3","0.1","1","26.91","25.6"
"Row   59","0.86","588","294","147","7","4","0.1","1","26.37","27.03"
"Row   60","0.86","588","294","147","7","5","0.1","1","25.27","31.73"
"Row   61","0.82","612.5","318.5","147","7","2","0.1","1","23.53","27.31"
"Row   62","0.82","612.5","318.5","147","7","3","0.1","1","24.03","24.91"
"Row   63","0.82","612.5","318.5","147","7","4","0.1","1","23.54","24.61"
"Row   64","0.82","612.5","318.5","147","7","5","0.1","1","22.58","28.51"
"Row   65","0.79","637","343","147","7","2","0.1","1","35.56","41.68"
"Row   66","0.79","637","343","147","7","3","0.1","1","37.12","35.28"
"Row   67","0.79","637","343","147","7","4","0.1","1","36.9","34.43"
"Row   68","0.79","637","343","147","7","5","0.1","1","35.94","43.33"
"Row   69","0.76","661.5","416.5","122.5","7","2","0.1","1","32.96","33.87"
"Row   70","0.76","661.5","416.5","122.5","7","3","0.1","1","32.12","34.07"
"Row   71","0.76","661.5","416.5","122.5","7","4","0.1","1","32.94","34.14"
"Row   72","0.76","661.5","416.5","122.5","7","5","0.1","1","32.21","33.67"
"Row   73","0.74","686","245","220.5","3.5","2","0.1","1","10.36","13.43"
"Row   74","0.74","686","245","220.5","3.5","3","0.1","1","10.43","13.71"
"Row   75","0.74","686","245","220.5","3.5","4","0.1","1","10.36","13.48"
"Row   76","0.74","686","245","220.5","3.5","5","0.1","1","10.39","13.7"
"Row   77","0.71","710.5","269.5","220.5","3.5","2","0.1","1","10.71","13.8"
"Row   78","0.71","710.5","269.5","220.5","3.5","3","0.1","1","10.8","14.28"
"Row   79","0.71","710.5","269.5","220.5","3.5","4","0.1","1","10.7","13.87"
"Row   80","0.71","710.5","269.5","220.5","3.5","5","0.1","1","10.75","14.27"
"Row   81","0.69","735","294","220.5","3.5","2","0.1","1","11.11","14.28"
"Row   82","0.69","735","294","220.5","3.5","3","0.1","1","11.13","14.61"
"Row   83","0.69","735","294","220.5","3.5","4","0.1","1","11.09","14.3"
"Row   84","0.69","735","294","220.5","3.5","5","0.1","1","11.16","14.45"
"Row   85","0.66","759.5","318.5","220.5","3.5","2","0.1","1","11.68","13.9"
"Row   86","0.66","759.5","318.5","220.5","3.5","3","0.1","1","11.69","13.72"
"Row   87","0.66","759.5","318.5","220.5","3.5","4","0.1","1","11.7","13.88"
"Row   88","0.66","759.5","318.5","220.5","3.5","5","0.1","1","11.69","13.65"
"Row   89","0.64","784","343","220.5","3.5","2","0.1","1","15.41","19.37"
"Row   90","0.64","784","343","220.5","3.5","3","0.1","1","15.2","19.43"
"Row   91","0.64","784","343","220.5","3.5","4","0.1","1","15.42","19.34"
"Row   92","0.64","784","343","220.5","3.5","5","0.1","1","15.21","19.32"
"Row   93","0.62","808.5","367.5","220.5","3.5","2","0.1","1","12.96","14.34"
"Row   94","0.62","808.5","367.5","220.5","3.5","3","0.1","1","12.97","14.5"
"Row   95","0.62","808.5","367.5","220.5","3.5","4","0.1","1","12.93","14.33"
"Row   96","0.62","808.5","367.5","220.5","3.5","5","0.1","1","13.02","14.27"
"Row   97","0.98","514.5","294","110.25","7","2","0.1","2","24.29","25.95"
"Row   98","0.98","514.5","294","110.25","7","3","0.1","2","24.31","25.63"
"Row   99","0.98","514.5","294","110.25","7","4","0.1","2","24.13","26.13"
"Row  100","0.98","514.5","294","110.25","7","5","0.1","2","24.25","25.89"
"Row  101","0.9","563.5","318.5","122.5","7","2","0.1","2","28.88","32.54"
"Row  102","0.9","563.5","318.5","122.5","7","3","0.1","2","29.68","29.44"
"Row  103","0.9","563.5","318.5","122.5","7","4","0.1","2","28.83","29.36"
"Row  104","0.9","563.5","318.5","122.5","7","5","0.1","2","27.9","34.2"
"Row  105","0.86","588","294","147","7","2","0.1","2","26.48","30.91"
"Row  106","0.86","588","294","147","7","3","0.1","2","27.02","25.63"
"Row  107","0.86","588","294","147","7","4","0.1","2","26.33","27.36"
"Row  108","0.86","588","294","147","7","5","0.1","2","25.36","31.9"
"Row  109","0.82","612.5","318.5","147","7","2","0.1","2","23.75","27.38"
"Row  110","0.82","612.5","318.5","147","7","3","0.1","2","24.23","25.02"
"Row  111","0.82","612.5","318.5","147","7","4","0.1","2","23.67","24.8"
"Row  112","0.82","612.5","318.5","147","7","5","0.1","2","22.79","28.79"
"Row  113","0.79","637","343","147","7","2","0.1","2","35.65","41.07"
"Row  114","0.79","637","343","147","7","3","0.1","2","37.26","34.62"
"Row  115","0.79","637","343","147","7","4","0.1","2","36.97","33.87"
"Row  116","0.79","637","343","147","7","5","0.1","2","36.03","42.86"
"Row  117","0.76","661.5","416.5","122.5","7","2","0.1","2","33.16","33.91"
"Row  118","0.76","661.5","416.5","122.5","7","3","0.1","2","32.4","34.07"
"Row  119","0.76","661.5","416.5","122.5","7","4","0.1","2","33.12","34.17"
"Row  120","0.76","661.5","416.5","122.5","7","5","0.1","2","32.41","33.78"
"Row  121","0.74","686","245","220.5","3.5","2","0.1","2","10.42","13.39"
"Row  122","0.74","686","245","220.5","3.5","3","0.1","2","10.46","13.72"
"Row  123","0.74","686","245","220.5","3.5","4","0.1","2","10.32","13.57"
"Row  124","0.74","686","245","220.5","3.5","5","0.1","2","10.45","13.79"
"Row  125","0.71","710.5","269.5","220.5","3.5","2","0.1","2","10.64","13.67"
"Row  126","0.71","710.5","269.5","220.5","3.5","3","0.1","2","10.72","14.11"
"Row  127","0.71","710.5","269.5","220.5","3.5","4","0.1","2","10.55","13.8"
"Row  128","0.71","710.5","269.5","220.5","3.5","5","0.1","2","10.68","14.21"
"Row  129","0.69","735","294","220.5","3.5","2","0.1","2","11.45","13.2"
"Row  130","0.69","735","294","220.5","3.5","3","0.1","2","11.46","13.54"
"Row  131","0.69","735","294","220.5","3.5","4","0.1","2","11.32","13.32"
"Row  132","0.69","735","294","220.5","3.5","5","0.1","2","11.49","13.51"
"Row  133","0.66","759.5","318.5","220.5","3.5","2","0.1","2","11.45","14.86"
"Row  134","0.66","759.5","318.5","220.5","3.5","3","0.1","2","11.42","14.75"
"Row  135","0.66","759.5","318.5","220.5","3.5","4","0.1","2","11.33","15"
"Row  136","0.66","759.5","318.5","220.5","3.5","5","0.1","2","11.43","14.74"
"Row  137","0.64","784","343","220.5","3.5","2","0.1","2","15.41","19.23"
"Row  138","0.64","784","343","220.5","3.5","3","0.1","2","15.18","19.34"
"Row  139","0.64","784","343","220.5","3.5","4","0.1","2","15.34","19.32"
"Row  140","0.64","784","343","220.5","3.5","5","0.1","2","15.19","19.3"
"Row  141","0.62","808.5","367.5","220.5","3.5","2","0.1","2","12.88","14.37"
"Row  142","0.62","808.5","367.5","220.5","3.5","3","0.1","2","13","14.57"
"Row  143","0.62","808.5","367.5","220.5","3.5","4","0.1","2","12.97","14.27"
"Row  144","0.62","808.5","367.5","220.5","3.5","5","0.1","2","13.04","14.24"
"Row  145","0.98","514.5","294","110.25","7","2","0.1","3","24.28","25.68"
"Row  146","0.98","514.5","294","110.25","7","3","0.1","3","24.4","26.02"
"Row  147","0.98","514.5","294","110.25","7","4","0.1","3","24.11","25.84"
"Row  148","0.98","514.5","294","110.25","7","5","0.1","3","24.35","26.14"
"Row  149","0.9","563.5","318.5","122.5","7","2","0.1","3","28.07","34.14"
"Row  150","0.9","563.5","318.5","122.5","7","3","0.1","3","29.01","32.85"
"Row  151","0.9","563.5","318.5","122.5","7","4","0.1","3","29.62","30.08"
"Row  152","0.9","563.5","318.5","122.5","7","5","0.1","3","29.05","29.67"
"Row  153","0.86","588","294","147","7","2","0.1","3","25.41","31.73"
"Row  154","0.86","588","294","147","7","3","0.1","3","26.47","31.01"
"Row  155","0.86","588","294","147","7","4","0.1","3","26.89","25.9"
"Row  156","0.86","588","294","147","7","5","0.1","3","26.46","27.4"
"Row  157","0.82","612.5","318.5","147","7","2","0.1","3","22.93","28.68"
"Row  158","0.82","612.5","318.5","147","7","3","0.1","3","23.84","27.54"
"Row  159","0.82","612.5","318.5","147","7","4","0.1","3","24.17","25.35"
"Row  160","0.82","612.5","318.5","147","7","5","0.1","3","23.87","24.93"
"Row  161","0.79","637","343","147","7","2","0.1","3","35.78","43.12"
"Row  162","0.79","637","343","147","7","3","0.1","3","35.48","41.22"
"Row  163","0.79","637","343","147","7","4","0.1","3","36.97","35.1"
"Row  164","0.79","637","343","147","7","5","0.1","3","36.7","34.29"
"Row  165","0.76","661.5","416.5","122.5","7","2","0.1","3","32.52","33.85"
"Row  166","0.76","661.5","416.5","122.5","7","3","0.1","3","33.28","34.11"
"Row  167","0.76","661.5","416.5","122.5","7","4","0.1","3","32.33","34.48"
"Row  168","0.76","661.5","416.5","122.5","7","5","0.1","3","33.24","34.5"
"Row  169","0.74","686","245","220.5","3.5","2","0.1","3","10.39","13.6"
"Row  170","0.74","686","245","220.5","3.5","3","0.1","3","10.34","13.36"
"Row  171","0.74","686","245","220.5","3.5","4","0.1","3","10.35","13.65"
"Row  172","0.74","686","245","220.5","3.5","5","0.1","3","10.38","13.49"
"Row  173","0.71","710.5","269.5","220.5","3.5","2","0.1","3","10.77","14.14"
"Row  174","0.71","710.5","269.5","220.5","3.5","3","0.1","3","10.68","13.77"
"Row  175","0.71","710.5","269.5","220.5","3.5","4","0.1","3","10.68","14.3"
"Row  176","0.71","710.5","269.5","220.5","3.5","5","0.1","3","10.7","13.87"
"Row  177","0.69","735","294","220.5","3.5","2","0.1","3","11.22","14.44"
"Row  178","0.69","735","294","220.5","3.5","3","0.1","3","11.16","14.27"
"Row  179","0.69","735","294","220.5","3.5","4","0.1","3","11.1","14.67"
"Row  180","0.69","735","294","220.5","3.5","5","0.1","3","11.14","14.4"
"Row  181","0.66","759.5","318.5","220.5","3.5","2","0.1","3","11.59","13.46"
"Row  182","0.66","759.5","318.5","220.5","3.5","3","0.1","3","11.6","13.7"
"Row  183","0.66","759.5","318.5","220.5","3.5","4","0.1","3","11.53","13.59"
"Row  184","0.66","759.5","318.5","220.5","3.5","5","0.1","3","11.61","13.83"
"Row  185","0.64","784","343","220.5","3.5","2","0.1","3","15.16","19.14"
"Row  186","0.64","784","343","220.5","3.5","3","0.1","3","15.36","19.18"
"Row  187","0.64","784","343","220.5","3.5","4","0.1","3","15.12","19.37"
"Row  188","0.64","784","343","220.5","3.5","5","0.1","3","15.36","19.29"
"Row  189","0.62","808.5","367.5","220.5","3.5","2","0.1","3","12.68","14.09"
"Row  190","0.62","808.5","367.5","220.5","3.5","3","0.1","3","12.63","14.23"
"Row  191","0.62","808.5","367.5","220.5","3.5","4","0.1","3","12.71","14.14"
"Row  192","0.62","808.5","367.5","220.5","3.5","5","0.1","3","12.73","13.89"
"Row  193","0.98","514.5","294","110.25","7","2","0.1","4","24.38","25.91"
"Row  194","0.98","514.5","294","110.25","7","3","0.1","4","24.23","25.72"
"Row  195","0.98","514.5","294","110.25","7","4","0.1","4","24.04","26.18"
"Row  196","0.98","514.5","294","110.25","7","5","0.1","4","24.32","25.87"
"Row  197","0.9","563.5","318.5","122.5","7","2","0.1","4","29.06","29.34"
"Row  198","0.9","563.5","318.5","122.5","7","3","0.1","4","28.05","33.91"
"Row  199","0.9","563.5","318.5","122.5","7","4","0.1","4","28.86","32.83"
"Row  200","0.9","563.5","318.5","122.5","7","5","0.1","4","29.79","29.92"
"Row  201","0.86","588","294","147","7","2","0.1","4","26.44","27.17"
"Row  202","0.86","588","294","147","7","3","0.1","4","25.37","31.76"
"Row  203","0.86","588","294","147","7","4","0.1","4","26.33","31.06"
"Row  204","0.86","588","294","147","7","5","0.1","4","27.03","25.81"
"Row  205","0.82","612.5","318.5","147","7","2","0.1","4","23.8","24.61"
"Row  206","0.82","612.5","318.5","147","7","3","0.1","4","22.8","28.61"
"Row  207","0.82","612.5","318.5","147","7","4","0.1","4","23.59","27.57"
"Row  208","0.82","612.5","318.5","147","7","5","0.1","4","24.24","25.16"
"Row  209","0.79","637","343","147","7","2","0.1","4","36.86","34.25"
"Row  210","0.79","637","343","147","7","3","0.1","4","35.89","43.3"
"Row  211","0.79","637","343","147","7","4","0.1","4","35.45","41.86"
"Row  212","0.79","637","343","147","7","5","0.1","4","37.1","35.29"
"Row  213","0.76","661.5","416.5","122.5","7","2","0.1","4","33.08","34.11"
"Row  214","0.76","661.5","416.5","122.5","7","3","0.1","4","32.38","33.62"
"Row  215","0.76","661.5","416.5","122.5","7","4","0.1","4","33.09","33.89"
"Row  216","0.76","661.5","416.5","122.5","7","5","0.1","4","32.31","34.05"
"Row  217","0.74","686","245","220.5","3.5","2","0.1","4","10.08","13.2"
"Row  218","0.74","686","245","220.5","3.5","3","0.1","4","10.15","13.36"
"Row  219","0.74","686","245","220.5","3.5","4","0.1","4","10.07","13.21"
"Row  220","0.74","686","245","220.5","3.5","5","0.1","4","10.14","13.53"
"Row  221","0.71","710.5","269.5","220.5","3.5","2","0.1","4","10.66","13.67"
"Row  222","0.71","710.5","269.5","220.5","3.5","3","0.1","4","10.68","14.12"
"Row  223","0.71","710.5","269.5","220.5","3.5","4","0.1","4","10.53","13.79"
"Row  224","0.71","710.5","269.5","220.5","3.5","5","0.1","4","10.72","14.2"
"Row  225","0.69","735","294","220.5","3.5","2","0.1","4","11.18","14.29"
"Row  226","0.69","735","294","220.5","3.5","3","0.1","4","11.22","14.49"
"Row  227","0.69","735","294","220.5","3.5","4","0.1","4","11.07","14.42"
"Row  228","0.69","735","294","220.5","3.5","5","0.1","4","11.2","14.73"
"Row  229","0.66","759.5","318.5","220.5","3.5","2","0.1","4","11.44","14.86"
"Row  230","0.66","759.5","318.5","220.5","3.5","3","0.1","4","11.42","14.67"
"Row  231","0.66","759.5","318.5","220.5","3.5","4","0.1","4","11.33","15"
"Row  232","0.66","759.5","318.5","220.5","3.5","5","0.1","4","11.43","14.83"
"Row  233","0.64","784","343","220.5","3.5","2","0.1","4","15.4","19.24"
"Row  234","0.64","784","343","220.5","3.5","3","0.1","4","15.19","19.25"
"Row  235","0.64","784","343","220.5","3.5","4","0.1","4","15.32","19.42"
"Row  236","0.64","784","343","220.5","3.5","5","0.1","4","15.16","19.48"
"Row  237","0.62","808.5","367.5","220.5","3.5","2","0.1","4","12.85","14.37"
"Row  238","0.62","808.5","367.5","220.5","3.5","3","0.1","4","13.04","14.34"
"Row  239","0.62","808.5","367.5","220.5","3.5","4","0.1","4","13","14.28"
"Row  240","0.62","808.5","367.5","220.5","3.5","5","0.1","4","13","14.47"
"Row  241","0.98","514.5","294","110.25","7","2","0.1","5","24.35","25.64"
"Row  242","0.98","514.5","294","110.25","7","3","0.1","5","24.33","25.98"
"Row  243","0.98","514.5","294","110.25","7","4","0.1","5","24.03","25.88"
"Row  244","0.98","514.5","294","110.25","7","5","0.1","5","24.26","26.18"
"Row  245","0.9","563.5","318.5","122.5","7","2","0.1","5","29.83","29.82"
"Row  246","0.9","563.5","318.5","122.5","7","3","0.1","5","29.08","29.52"
"Row  247","0.9","563.5","318.5","122.5","7","4","0.1","5","28.03","34.45"
"Row  248","0.9","563.5","318.5","122.5","7","5","0.1","5","29.02","33.01"
"Row  249","0.86","588","294","147","7","2","0.1","5","27.03","25.82"
"Row  250","0.86","588","294","147","7","3","0.1","5","26.45","27.33"
"Row  251","0.86","588","294","147","7","4","0.1","5","25.36","32.04"
"Row  252","0.86","588","294","147","7","5","0.1","5","26.45","31.28"
"Row  253","0.82","612.5","318.5","147","7","2","0.1","5","24.37","25.11"
"Row  254","0.82","612.5","318.5","147","7","3","0.1","5","23.89","24.77"
"Row  255","0.82","612.5","318.5","147","7","4","0.1","5","22.89","28.88"
